obstacle_width,obstacle_height,dino_position_y,distanceFromNextObstacle,speed,label
950,325,310,870.1293007363905,25,Run
925,325,310,845.133125608031,25,Run
900,325,310,820.137183646736,25,Run
875,325,310,795.1414968419143,25,Run
850,325,310,770.1460900374682,25,Run
825,325,310,745.1509914104657,25,Run
800,325,310,720.1562330494683,25,Run
775,325,310,695.1618516575834,25,Run
750,325,310,670.1678894127948,25,Run
725,325,310,645.174395028197,25,Run
700,325,310,620.1814250685037,25,Run
675,325,310,595.1890455981192,25,Run
650,325,310,570.1973342624464,25,Run
625,325,310,545.2063829413592,25,Run
600,325,310,520.2163011671203,25,Run
575,325,310,495.22722057657535,25,Run
550,325,310,470.2393007820593,25,Run
525,325,310,445.25273721786374,25,Run
500,325,310,420.267771783657,25,Run
475,325,310,395.28470752104744,25,Run
450,325,310,370.3039292257105,25,Run
425,325,310,345.3259329966401,25,Run
400,325,310,320.3513695928269,25,Run
375,325,310,295.3811097548386,25,Run
350,325,310,270.4163456597992,25,Run
325,325,310,245.45875417267155,25,Run
300,325,276,225.39077177204928,25,Jump
275,325,245,210.77238908357992,25,Jump
250,325,217,201.40506448448608,25,Jump
225,325,192,196.7587355112855,25,Jump
200,325,170,196.02295783912658,25,Jump
175,325,152,197.3676771915807,25,Jump
150,325,137,200.60907257649143,25,Jump
125,325,125,205.0,25,Jump
100,325,116,209.95475703112803,25,Jump
75,325,110,215.05813167606567,25,Jump
50,325,108,219.06391761310215,25,Jump
25,325,109,222.89235069871734,25,Jump
0,325,113,226.59214461229675,25,Jump
-25,325,120,230.32585612562042,25,Jump
1100,325,130,1038.4724358402586,25,Jump
1075,325,144,1011.3288288187972,25,Jump
1050,325,161,983.766232394668,25,Jump
1025,325,181,955.9084684215325,25,Jump
1000,325,204,927.9229493875017,25,Jump
975,325,230,900.0277773491216,25,Jump
950,325,260,872.4247818580121,25,Jump
925,325,293,845.6057000753957,25,Jump
900,325,310,820.137183646736,25,Run
875,325,310,795.1414968419143,25,Run
850,325,310,770.1460900374682,25,Run
825,325,310,745.1509914104657,25,Run
800,325,310,720.1562330494683,25,Run
775,325,310,695.1618516575834,25,Run
750,325,310,670.1678894127948,26,Run
724,325,310,644.1746657545607,26,Run
698,325,310,618.1820120320551,26,Run
672,325,310,592.1900032928621,26,Run
646,325,310,566.1987283631075,26,Run
620,325,310,540.2082931610732,26,Run
594,325,310,514.2188250151875,26,Run
568,325,310,488.2304783603744,26,Run
542,325,310,462.24344235478344,26,Run
516,325,310,436.2579512169377,26,Run
490,325,310,410.27429848821873,26,Run
464,325,310,384.29285707647495,26,Run
438,325,310,358.3141080113927,26,Run
412,325,310,332.3386826717588,26,Run
386,325,310,306.36742646697934,26,Run
360,325,310,280.40149785619906,26,Run
334,325,310,254.4425278918601,26,Run
308,325,276,233.20591759215716,26,Jump
282,325,245,217.26481537515457,26,Jump
256,325,217,206.49455198624491,26,Jump
230,325,192,200.47194317410106,26,Jump
204,325,170,198.4968513604183,26,Jump
178,325,152,198.82907232092595,26,Jump
152,325,137,201.3156725145859,26,Jump
126,325,125,205.22183119736556,26,Jump
100,325,116,209.95475703112803,26,Jump
74,325,110,215.08370463612533,26,Jump
48,325,108,219.3467574412715,26,Jump
22,325,109,223.6515146382872,26,Jump
-4,325,113,228.0350850198276,26,Jump
-30,325,120,232.64780248263682,26,Jump
-56,325,130,237.7414562082095,26,Jump
-82,325,144,242.90944814889355,26,Jump
1100,300,161,1029.427510803942,26,Jump
1074,300,181,1001.0978973107475,26,Jump
1048,300,204,972.7486828569854,26,Jump
1022,300,230,944.5972686812089,26,Jump
996,300,260,916.8729464871346,26,Jump
970,300,293,890.0275276641729,26,Jump
944,300,310,864.0578684324332,26,Run
918,300,310,838.0596637471583,26,Run
892,300,310,812.0615740200985,26,Run
866,300,310,786.0636106575599,26,Run
840,300,310,760.0657866263946,26,Run
814,300,310,734.0681167303209,26,Run
788,300,310,708.0706179471084,26,Run
762,300,310,682.0733098428643,26,Run
736,300,310,656.0762150848025,26,Run
710,300,310,630.0793600809345,26,Run
684,300,310,604.0827757849084,26,Run
658,300,310,578.0864987179687,26,Run
632,300,310,552.0905722795853,26,Run
606,300,310,526.0950484465711,26,Run
580,300,310,500.0999900019995,26,Run
554,300,310,474.10547349719553,26,Run
528,300,310,448.1115932443614,26,Run
502,300,310,422.1184667839113,26,Run
476,300,310,396.1262425035736,26,Run
450,300,310,370.1351104664349,26,Run
424,300,310,344.14531814336806,26,Run
398,300,310,318.1571938523471,26,Run
372,300,310,292.1711826994579,26,Run
346,300,310,266.1879035568671,26,Run
320,300,310,240.20824298928628,26,Run
294,300,276,215.34158910902465,26,Jump
268,300,245,195.88006534611938,26,Jump
242,300,217,182.02472359545007,26,Jump
216,300,192,173.6663467687393,26,Jump
190,300,170,170.29386365926402,26,Jump
164,300,152,170.1763790894612,26,Jump
138,300,137,173.0115603073968,26,Jump
112,300,125,177.9016582272352,26,Jump
86,300,116,184.09780009549272,26,Jump
60,300,110,191.049731745428,26,Jump
